지역코드,아파트,시도명,시군구,법정동,지번,거래일,전용면적,층,거래금액
47210,성동복합,경상북도,영주시,영주동,482-5,2022-01-10,78.14,6,"7,800"
47210,주공,경상북도,영주시,영주동,470-220,2022-01-12,49.22,5,"6,000"
47210,철탄,경상북도,영주시,영주동,63-2,2022-01-18,33.18,5,"3,000"
47210,철탄,경상북도,영주시,영주동,63-2,2022-01-27,59.98,1,"5,000"
47210,장미,경상북도,영주시,상망동,645-4,2022-01-04,59.91,1,"5,050"
47210,장미,경상북도,영주시,상망동,645-4,2022-01-07,77.04,1,"6,600"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-01-12,59.6058,8,"8,000"
47210,장미,경상북도,영주시,상망동,645-4,2022-01-13,59.91,1,"4,900"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-01-14,59.6058,1,"8,900"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-01-15,59.6058,13,"9,400"
47210,코아루,경상북도,영주시,상망동,834,2022-01-16,152.97,11,"41,000"
47210,코아루,경상북도,영주시,상망동,834,2022-01-21,84.9197,1,"21,000"
47210,코아루,경상북도,영주시,상망동,834,2022-01-21,84.9197,3,"23,900"
47210,청구,경상북도,영주시,하망동,524-1,2022-01-03,84.8921,12,"17,300"
47210,화성타운임대,경상북도,영주시,하망동,71-1,2022-01-08,52.35,1,"6,000"
47210,화성임대2,경상북도,영주시,하망동,75,2022-01-10,84.79,2,"7,700"
47210,영남동산2,경상북도,영주시,하망동,96-1,2022-01-12,49.87,4,"3,450"
47210,코오롱1차,경상북도,영주시,하망동,276-1,2022-01-14,66.93,3,"4,500"
47210,청구,경상북도,영주시,하망동,524-1,2022-01-20,59.9705,8,"11,500"
47210,청구,경상북도,영주시,하망동,524-1,2022-01-28,84.8921,5,"17,000"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-01-03,41.56,5,"4,520"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-04,59.76,10,"8,170"
47210,현대동산,경상북도,영주시,휴천동,168,2022-01-04,59.595,8,"7,300"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-05,84.962,2,"13,400"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-05,59.76,12,"8,200"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-01-06,41.99,2,"5,200"
47210,현대대영,경상북도,영주시,휴천동,419,2022-01-06,84.95,1,"9,300"
47210,현대대영,경상북도,영주시,휴천동,419,2022-01-06,84.95,1,"9,300"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-07,59.76,15,"9,350"
47210,현대1,경상북도,영주시,휴천동,456,2022-01-09,74.507,10,"11,000"
47210,세림빌라,경상북도,영주시,휴천동,703-4,2022-01-10,82.17,2,"7,500"
47210,현대1,경상북도,영주시,휴천동,456,2022-01-11,84.922,15,"11,300"
47210,늘봄맨션,경상북도,영주시,휴천동,514-1,2022-01-11,74.16,5,"5,500"
47210,화성라온빌,경상북도,영주시,휴천동,1980,2022-01-11,84.9321,3,"26,500"
47210,"개나리2,3동",경상북도,영주시,휴천동,412-35,2022-01-11,79.92,3,"7,300"
47210,현대동산,경상북도,영주시,휴천동,168,2022-01-12,59.595,6,"9,800"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-12,59.76,4,"8,200"
47210,세영첼시빌,경상북도,영주시,휴천동,1213,2022-01-12,84.9314,1,"16,600"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-15,75.33,5,"11,100"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-15,84.962,19,"13,700"
47210,현대대영,경상북도,영주시,휴천동,419,2022-01-15,59.925,12,"8,950"
47210,현대동산,경상북도,영주시,휴천동,168,2022-01-18,77.239,21,"9,000"
47210,세영첼시빌,경상북도,영주시,휴천동,1213,2022-01-19,84.9314,1,"18,300"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-20,84.962,14,"13,750"
47210,현대1,경상북도,영주시,휴천동,456,2022-01-20,74.507,1,"8,900"
47210,세영첼시빌,경상북도,영주시,휴천동,1213,2022-01-20,59.9978,2,"11,700"
47210,화성라온빌,경상북도,영주시,휴천동,1980,2022-01-20,84.8995,13,"20,000"
47210,현대1,경상북도,영주시,휴천동,456,2022-01-21,84.922,4,"10,900"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-01-24,84.962,2,"13,200"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-01-03,59.7285,4,"6,200"
47210,시영,경상북도,영주시,가흥동,530,2022-01-04,52.17,5,"3,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-01-04,147.78,19,"19,000"
47210,시영,경상북도,영주시,가흥동,530,2022-01-06,47.46,1,"3,100"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-01-07,59.4512,14,"15,000"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-08,84.6661,11,"27,500"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-01-10,45.5936,3,"10,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-01-11,75.9,7,"10,000"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-01-11,59.4512,12,"14,000"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-12,59.2111,10,"19,450"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-01-12,63.82,10,"10,300"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-12,84.4579,15,"29,900"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-17,59.2111,12,"19,200"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-01-18,59.83,3,"17,000"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-18,59.2111,2,"20,100"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-18,74.7167,11,"24,900"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-18,100.8347,15,"34,000"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-01-19,59.4512,1,"11,950"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-01-20,147.78,9,"19,000"
47210,시영,경상북도,영주시,가흥동,530,2022-01-21,41.01,2,"4,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-01-22,59.46,13,"8,250"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-01-24,45.32,2,"10,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-01-25,59.46,10,"8,350"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-27,74.7167,8,"24,800"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-01-28,100.8347,5,"32,500"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-01-28,125.24,13,"16,000"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-01-29,59.4512,8,"13,800"
47210,우신강변,경상북도,영주시,풍기읍 성내리,134-1,2022-01-13,84.37,1,"9,500"
47210,우신강변,경상북도,영주시,풍기읍 성내리,134-1,2022-01-16,84.37,3,"13,000"
47210,한솔맨션,경상북도,영주시,풍기읍 성내리,197-1,2022-01-24,84.48,6,"3,900"
47210,동원스타네홈,경상북도,영주시,풍기읍 동부리,504-1,2022-01-03,73.4326,11,"23,500"
47210,한양임대1,경상북도,영주시,풍기읍 동부리,305-5,2022-01-05,38.85,6,"3,395"
47210,한양임대1,경상북도,영주시,풍기읍 동부리,305-5,2022-01-07,52.35,2,"5,950"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-01-11,84.9956,10,"24,800"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-02-02,62.94,5,"8,200"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-02-05,84.675,4,"10,500"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-02-07,84.675,1,"13,000"
47210,동진타워,경상북도,영주시,영주동,513-3,2022-02-09,59.175,14,"8,700"
47210,동진타워,경상북도,영주시,영주동,513-3,2022-02-09,83.673,6,"13,000"
47210,주공,경상북도,영주시,영주동,470-220,2022-02-17,42.74,1,"6,900"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-02-25,84.675,2,"11,500"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-02-12,59.6058,14,"10,000"
47210,장미,경상북도,영주시,상망동,645-4,2022-02-17,59.91,2,"3,500"
47210,청구,경상북도,영주시,하망동,524-1,2022-02-04,76.0393,9,"15,300"
47210,청구,경상북도,영주시,하망동,524-1,2022-02-07,119.2435,11,"23,500"
47210,청구,경상북도,영주시,하망동,524-1,2022-02-10,59.9705,8,"11,700"
47210,청구,경상북도,영주시,하망동,524-1,2022-02-11,59.9705,1,"12,000"
47210,엘리트빌,경상북도,영주시,하망동,315-3,2022-02-12,115.9,8,"14,500"
47210,코오롱1차,경상북도,영주시,하망동,276-1,2022-02-15,58.95,1,"6,300"
47210,명성방산,경상북도,영주시,하망동,83,2022-02-16,45.456,2,"3,800"
47210,코오롱2차,경상북도,영주시,하망동,276-23,2022-02-17,84.9,2,"8,100"
47210,스카이타운,경상북도,영주시,하망동,366-1,2022-02-17,105.54,5,"22,100"
47210,청구,경상북도,영주시,하망동,524-1,2022-02-18,59.9705,8,"11,700"
47210,코오롱2차,경상북도,영주시,하망동,276-23,2022-02-22,84.9,2,"9,800"
47210,효자마을,경상북도,영주시,하망동,546-10,2022-02-23,82.403,4,"9,000"
47210,청구,경상북도,영주시,하망동,524-1,2022-02-27,59.9705,12,"11,900"
47210,현대1,경상북도,영주시,휴천동,456,2022-02-04,84.922,14,"13,100"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-02-05,59.76,9,"8,400"
47210,"개나리5,6동",경상북도,영주시,휴천동,412-53,2022-02-06,59.7,5,"3,800"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-02-07,84.962,6,"13,200"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-02-07,84.962,6,"13,200"
47210,현대동산,경상북도,영주시,휴천동,168,2022-02-08,59.595,6,"9,800"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-02-10,84.962,20,"14,800"
47210,현대동산,경상북도,영주시,휴천동,168,2022-02-10,59.595,16,"10,900"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-02-11,42.55,3,"4,200"
47210,현대2,경상북도,영주시,휴천동,452,2022-02-11,74.58,8,"10,000"
47210,"현대궁전1,2,3동",경상북도,영주시,휴천동,662,2022-02-16,84.69,5,"6,800"
47210,현대대영,경상북도,영주시,휴천동,419,2022-02-16,59.925,10,"7,600"
47210,늘봄맨션,경상북도,영주시,휴천동,514-1,2022-02-18,74.16,3,"6,200"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-02-21,42.12,4,"5,000"
47210,현대1,경상북도,영주시,휴천동,456,2022-02-22,84.922,5,"12,000"
47210,동부3차,경상북도,영주시,휴천동,696,2022-02-22,59.885,6,"3,900"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-02-23,75.33,1,"11,000"
47210,화성라온빌,경상북도,영주시,휴천동,1980,2022-02-23,84.8995,8,"23,100"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-02-24,42.55,2,"3,000"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-02-28,41.56,3,"3,600"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-02-01,45.32,6,"10,000"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-02-02,59.4512,11,"13,900"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-02-03,63.82,1,"8,100"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-02-03,84.94,5,"11,700"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-02-04,125.24,16,"16,300"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-02-04,59.2111,12,"18,500"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-02-06,74.7167,2,"23,900"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-02-07,45.32,13,"10,800"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-02-08,125.24,6,"17,900"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-02-08,59.46,9,"8,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-02-09,84.93,18,"13,100"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-02-11,74.7167,13,"26,600"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-02-15,59.2111,1,"18,500"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-02-18,45.32,2,"10,700"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-02-18,84.4579,11,"29,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-02-19,84.93,11,"14,000"
47210,영주가흥코아루노블,경상북도,영주시,가흥동,1619,2022-02-20,84.998,6,"32,150"
47210,영주가흥코아루노블,경상북도,영주시,가흥동,1619,2022-02-22,74.889,4,"29,000"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-02-22,45.32,5,"9,500"
47210,화성리버빌1,경상북도,영주시,가흥동,522-7,2022-02-22,55.9019,6,"7,500"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-02-23,59.4512,7,"14,600"
47210,시영,경상북도,영주시,가흥동,530,2022-02-24,47.46,2,"4,300"
47210,화성리버빌1,경상북도,영주시,가흥동,522-7,2022-02-26,55.8277,3,"7,800"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-02-26,59.46,2,"7,500"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-02-27,45.0457,4,"5,300"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-02-28,45.32,5,"10,300"
47210,한솔맨션,경상북도,영주시,풍기읍 성내리,197-1,2022-02-07,57.9,2,"5,000"
47210,보성,경상북도,영주시,풍기읍 성내리,147,2022-02-10,71.88,1,"4,500"
47210,초원,경상북도,영주시,풍기읍 동부리,521-3,2022-02-08,84.32,1,"7,700"
47210,초원,경상북도,영주시,풍기읍 동부리,521-3,2022-02-14,84.86,3,"8,500"
47210,궁전아파트,경상북도,영주시,풍기읍 동부리,491,2022-02-16,84.8594,9,"19,000"
47210,"가든하이츠(가,나동)",경상북도,영주시,풍기읍 서부리,28,2022-02-06,64.65,2,"4,600"
47210,주공,경상북도,영주시,영주동,470-220,2022-03-09,49.22,4,"6,700"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-03-09,84.675,3,"12,500"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-03-10,84.675,10,"13,000"
47210,동진타워,경상북도,영주시,영주동,513-3,2022-03-11,83.673,7,"14,500"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-03-16,62.94,10,"8,300"
47210,철탄,경상북도,영주시,영주동,63-2,2022-03-17,59.98,2,"5,450"
47210,동진타워,경상북도,영주시,영주동,513-3,2022-03-23,59.175,12,"8,700"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-03-08,59.6058,5,"9,900"
47210,코아루,경상북도,영주시,상망동,834,2022-03-10,84.9197,11,"24,000"
47210,코아루,경상북도,영주시,상망동,834,2022-03-10,84.9197,13,"21,800"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-03-17,59.6058,3,"9,000"
47210,코아루,경상북도,영주시,상망동,834,2022-03-18,125.3359,8,"32,000"
47210,장미,경상북도,영주시,상망동,645-4,2022-03-29,59.91,3,"4,100"
47210,청구,경상북도,영주시,하망동,524-1,2022-03-01,76.0393,10,"14,700"
47210,청구,경상북도,영주시,하망동,524-1,2022-03-02,119.2435,1,"22,300"
47210,코오롱1차,경상북도,영주시,하망동,276-1,2022-03-03,58.95,1,"6,000"
47210,로얄,경상북도,영주시,하망동,292-18,2022-03-13,43.92,3,"5,000"
47210,청구,경상북도,영주시,하망동,524-1,2022-03-14,59.9705,6,"12,500"
47210,화성임대2,경상북도,영주시,하망동,75,2022-03-15,59.84,5,"3,800"
47210,코오롱1차,경상북도,영주시,하망동,276-1,2022-03-20,66.93,2,"6,000"
47210,코오롱2차,경상북도,영주시,하망동,276-23,2022-03-21,70.76,8,"6,000"
47210,청구,경상북도,영주시,하망동,524-1,2022-03-21,84.8921,14,"17,200"
47210,청구,경상북도,영주시,하망동,524-1,2022-03-29,84.8921,1,"16,400"
47210,청구,경상북도,영주시,하망동,524-1,2022-03-29,119.2435,10,"23,500"
47210,영주석미모닝파크,경상북도,영주시,휴천동,706-3,2022-03-01,117.32,4,"28,300"
47210,현대1,경상북도,영주시,휴천동,456,2022-03-01,74.507,13,"11,000"
47210,현대1,경상북도,영주시,휴천동,456,2022-03-02,74.507,14,"10,500"
